,type,url,name,description,energetic_and_upbeat,chill_and_relaxing,happy_and_uplifting,melancholic_and_reflective,epic_and_majestic,mysterious_and_intriguing,romantic_and_sentimental,dark_and_intense,cinematic_and_inspiring,whimsical_and_playful,serene_and_meditative,triumphant_and_victorious,horror,party
0,playlist,https://open.spotify.com/playlist/37i9dQZF1DWYMroOc5KTTh,Serotonin,100% good vibes.,4,2,5,0,0,0,0,0,0,0,0,0,0,0
1,playlist,https://open.spotify.com/playlist/37i9dQZF1DXa2PvUpywmrr,Party Hits,"A mix of the biggest pop, dance, and hip hop party songs. Cover: Drake ",5,0,5,0,0,0,0,0,0,0,0,0,0,5
2,playlist,https://open.spotify.com/playlist/37i9dQZF1DWUE76cNNotSg,golden hour,"Warm indie dance vibes, the music you need at golden hour.",4,3,5,0,0,0,0,0,0,0,1,0,0,5
3,playlist,https://open.spotify.com/playlist/37i9dQZF1DWU13kKnk03AP,Daily Lift,Get in the zone with these current jams!,5,0,5,0,0,0,0,0,0,0,0,0,0,0
4,playlist,https://open.spotify.com/playlist/37i9dQZF1DX0u6E5bcKUrV,Pregame,what's the move?,5,2,4,0,0,0,0,0,0,1,0,0,0,5
5,playlist,https://open.spotify.com/playlist/37i9dQZF1DX4Y4RhrZqHhr,Beach Party,"The ocean, the sun, your friends, the music.",3,5,5,0,0,0,0,0,0,2,1,0,0,5
6,playlist,https://open.spotify.com/playlist/37i9dQZF1DWYBO1MoTDhZI,Good Vibes,Just good vibes all day long,3,4,5,0,0,0,0,0,0,2,1,0,0,2
7,playlist,https://open.spotify.com/playlist/37i9dQZF1DWSRc3WJklgBs,Heart Beats,"<a href=""spotify:genre:edm_dance"">Dance music</a> for the heart <3",5,0,3,0,0,0,3,0,0,0,0,0,0,3
8,playlist,https://open.spotify.com/playlist/37i9dQZF1DWURugcFfOfEH,good energy,"good vibes, all day every day",2,2,5,0,0,0,0,0,0,0,0,0,0,1
9,playlist,https://open.spotify.com/playlist/37i9dQZF1DX80MfQNTNVNZ,aloe,"Groove-heavy, soothing tunes for the soul and R&B",0,4,2,0,0,0,3,0,0,0,3,0,0,0
10,playlist,https://open.spotify.com/playlist/37i9dQZF1DX4Vd1jJ7X9H8,Soirée,"Groovy, dancy, funky stuff. When in doubt, turn this on at the party. ",4,2,5,0,0,0,0,0,0,2,0,0,0,5
11,playlist,https://open.spotify.com/playlist/37i9dQZF1DWTKdpN2FAbcN,Crushing,When you're thinking of the one who gives you the butterflies.,0,0,0,1,0,0,5,0,0,0,3,0,0,0
12,playlist,https://open.spotify.com/playlist/37i9dQZF1DWSXBu5naYCM9,A Perfect Day,"Timeless melodies from your favourite artists, both old and new.",3,3,5,0,0,0,0,0,2,0,0,0,0,1
13,playlist,https://open.spotify.com/playlist/37i9dQZF1DWUJrRlgpYslH,Sunday Mood,"A lazy Sunday vibe, whatever day of the week it is.",0,5,2,0,0,0,0,0,0,0,3,0,0,0
